#first name,count
GIPSON,80
COLVIN,80
BIGGS,80
VELA,80
PLATT,80
CASSIDY,80
TOMPKINS,80
MCCOLLUM,80
KAY,80
GABRIEL,80
DOLAN,80
DALEY,80
CRUMP,80
STREET,80
SNEED,80
KILGORE,80
GROVE,80
GRIMM,80
DAVISON,80
BRUNSON,80
PRATER,80
MARCUM,80
DEVINE,80
KYLE,80
DODGE,80
STRATTON,80
ROSAS,80
CHOI,80
TRIPP,80
LEDBETTER,80
LAY,80
HIGHTOWER,80
HAYWOOD,80
FELDMAN,80
EPPS,80
YEAGER,80
POSEY,80
SYLVESTER,80
SCRUGGS,80
COPE,80
STUBBS,80
RICHEY,80
OVERTON,80
TROTTER,80
SPRAGUE,80
CORDERO,80
BUTCHER,80
BURGER,80
STILES,80
BURGOS,80
WOODSON,80
HORNER,80
BASSETT,80
PURCELL,80
HASKINS,80
GEE,80
AKINS,80
ABRAHAM,80
HOYT,80
ZIEGLER,80
SPAULDING,80
HADLEY,80
GRUBBS,80
SUMNER,80
MURILLO,80
ZAVALA,80
SHOOK,80
LOCKWOOD,80
JARRETT,80
DRISCOLL,80
DAHL,80
THORPE,80
SHERIDAN,80
REDMOND,80
PUTNAM,80
MCWILLIAMS,80
MCRAE,80
CORNELL,80
FELTON,80
ROMANO,80
JOINER,80
SADLER,80
HEDRICK,80
HAGER,80
HAGEN,80
FITCH,80
COULTER,80
THACKER,80
MANSFIELD,80
LANGSTON,80
GUIDRY,80
FERREIRA,80
CORLEY,80
CONN,80
ROSSI,80
LACKEY,80
CODY,80
BAEZ,80
SAENZ,80
MCNAMARA,80
DARNELL,80
MICHEL,80
MCMULLEN,80
MCKENNA,80
MCDONOUGH,80
LINK,80
ENGEL,80
BROWNE,80
ROPER,80
PEACOCK,80
EUBANKS,80
DRUMMOND,80
STRINGER,80
PRITCHETT,80
PARHAM,80
MIMS,80
LANDERS,80
HAM,80
GRAYSON,80
STACY,80
SCHAFER,80
EGAN,80
TIMMONS,80
OHARA,80
KEEN,80
HAMLIN,80
FINN,80
CORTES,80
MCNAIR,80
LOUIS,80
CLIFFORD,80
NADEAU,80
MOSELEY,80
MICHAUD,80
ROSEN,80
OAKES,80
KURTZ,80
JEFFERS,80
CALLOWAY,80
BEAL,80
BAUTISTA,80
WINN,80
SUGGS,80
STERN,80
STAPLETON,80
LYLES,80
LAIRD,80
MONTANO,80
DIAMOND,80
DAWKINS,80
ROLAND,80
HAGAN,80
GOLDMAN,80
BRYSON,80
BARAJAS,80
LOVETT,80
SEGURA,80
METZ,80
LOCKETT,80
LANGFORD,80
HINSON,80
EASTMAN,80
ROCK,80
HOOKS,80
WOODY,70
SMALLWOOD,70
SHAPIRO,70
CROWELL,70
WHALEN,70
TRIPLETT,70
HOOKER,70
CHATMAN,70
ALDRICH,70
CAHILL,70
YOUNGBLOOD,70
YBARRA,70
STALLINGS,70
SHEETS,70
SAMUEL,70
REEDER,70
PERSON,70
PACK,70
LACEY,70
CONNELLY,70
BATEMAN,70
ABERNATHY,70
WINKLER,70
WILKES,70
MASTERS,70
HACKETT,70
GRANGER,70
GILLIS,70
SCHMITZ,70
SAPP,70
NAPIER,70
SOUZA,70
LANIER,70
GOMES,70
WEIR,70
OTERO,70
LEDFORD,70
BURROUGHS,70
BABCOCK,70
VENTURA,70
SIEGEL,70
DUGAN,70
CLINTON,70
CHRISTIE,70
BLEDSOE,70
ATWOOD,70
WRAY,70
VARNER,70
SPANGLER,70
OTTO,70
ANAYA,70
STALEY,70
KRAFT,70
FOURNIER,70
EDDY,70
BELANGER,70
WOLFF,70
THORNE,70
